Tau,SF,+-
414.2,9.26027e-23,4.53237e-24
416.821,9.34429e-23,4.22966e-24
419.443,9.1518e-23,4.43633e-24
422.064,8.56853e-23,4.4613e-24
424.686,8.47649e-23,4.15955e-24
427.307,8.16733e-23,3.77506e-24
429.929,8.40309e-23,4.24518e-24
432.55,8.7786e-23,4.16248e-24
435.172,8.9147e-23,4.04993e-24
437.793,8.15022e-23,4.35242e-24
440.415,8.87824e-23,4.61001e-24
443.036,8.86478e-23,4.09244e-24
445.658,9.54302e-23,4.86501e-24
448.279,9.7345e-23,4.89576e-24
450.901,9.64982e-23,4.3531e-24
453.522,9.21197e-23,4.68836e-24
456.144,9.66995e-23,4.83455e-24
458.765,9.702e-23,4.60037e-24
461.387,9.30174e-23,4.66708e-24
464.008,9.23049e-23,4.74338e-24
466.63,9.42108e-23,4.87731e-24
469.251,9.30252e-23,4.49022e-24
471.873,9.65206e-23,4.72417e-24
474.494,9.84824e-23,4.56358e-24
477.116,9.40201e-23,4.113e-24
479.737,9.42838e-23,4.21932e-24
482.359,9.87524e-23,4.35083e-24
484.98,9.856e-23,4.03502e-24
487.602,9.76473e-23,4.18967e-24
490.223,9.83446e-23,4.42693e-24
492.845,9.6376e-23,3.85719e-24
495.467,9.78215e-23,4.24964e-24
498.088,9.75921e-23,4.43581e-24
500.71,1.00056e-22,4.27988e-24
503.331,9.68406e-23,4.35494e-24
505.953,9.44325e-23,4.51971e-24
508.574,9.95505e-23,4.50102e-24
511.196,9.45271e-23,4.48908e-24
513.817,9.23387e-23,4.63289e-24
516.439,9.59597e-23,4.58592e-24
519.06,9.19083e-23,4.44394e-24
521.682,8.95392e-23,4.54468e-24
524.303,9.86478e-23,5.04629e-24
526.925,9.44998e-23,4.39842e-24
529.546,9.03866e-23,4.36856e-24
532.168,9.01659e-23,4.66323e-24
534.789,9.00442e-23,4.0192e-24
537.411,8.90144e-23,4.17601e-24
540.032,9.48067e-23,4.79305e-24
542.654,9.69999e-23,4.84086e-24
