Tau,SF,+-
471.443,1.58127e-21,9.35791e-23
474.408,1.6421e-21,9.47154e-23
477.373,1.69081e-21,9.81727e-23
480.338,1.6819e-21,1.04896e-22
483.303,1.70336e-21,1.0059e-22
486.268,1.845e-21,9.43288e-23
489.233,1.77015e-21,9.30348e-23
492.198,1.76882e-21,9.67544e-23
495.164,1.81882e-21,9.86981e-23
498.129,1.91574e-21,1.05674e-22
501.094,1.96119e-21,1.20813e-22
504.059,1.88468e-21,1.0692e-22
507.024,1.99839e-21,1.07995e-22
509.989,1.9505e-21,9.90507e-23
512.954,1.89572e-21,1.01647e-22
515.919,1.92841e-21,1.0906e-22
518.884,1.97375e-21,1.04949e-22
521.849,1.95638e-21,1.07579e-22
524.814,2.0387e-21,1.2463e-22
527.779,1.99969e-21,1.15287e-22
530.744,2.07297e-21,1.18334e-22
533.709,2.0431e-21,1.25399e-22
536.674,2.01354e-21,1.25081e-22
539.639,2.08924e-21,1.25992e-22
542.604,2.08268e-21,1.20027e-22
545.569,2.07195e-21,1.2933e-22
548.534,2.20487e-21,1.42808e-22
551.499,2.20383e-21,1.27686e-22
554.465,2.22846e-21,1.37598e-22
557.43,2.17481e-21,1.34734e-22
560.395,2.19123e-21,1.33101e-22
563.36,2.27558e-21,1.28183e-22
566.325,2.35083e-21,1.32575e-22
569.29,2.18717e-21,1.29886e-22
572.255,2.16755e-21,1.28814e-22
575.22,2.25531e-21,1.2594e-22
578.185,2.16179e-21,1.32643e-22
581.15,2.10299e-21,1.36823e-22
584.115,2.19249e-21,1.31472e-22
587.08,2.10385e-21,1.21772e-22
590.045,2.1751e-21,1.34951e-22
593.01,2.28256e-21,1.39628e-22
595.975,2.33244e-21,1.27292e-22
598.94,2.42717e-21,1.36747e-22
601.905,2.22416e-21,1.29801e-22
604.87,2.25353e-21,1.30553e-22
607.835,2.24623e-21,1.33121e-22
610.8,2.29661e-21,1.459e-22
613.766,2.25516e-21,1.5572e-22
616.731,2.334e-21,1.46796e-22
619.696,2.37896e-21,1.46062e-22
622.661,2.27939e-21,1.39632e-22
625.626,2.33703e-21,1.38005e-22
628.591,2.37106e-21,1.39024e-22
631.556,2.43416e-21,1.39949e-22
634.521,2.22248e-21,1.371e-22
637.486,2.04883e-21,1.26741e-22
640.451,2.15491e-21,1.30037e-22
643.416,2.06464e-21,1.28248e-22
646.381,1.86613e-21,1.15015e-22
649.346,1.76404e-21,1.00607e-22
652.311,1.83981e-21,1.03076e-22
655.276,1.89621e-21,1.07688e-22
658.241,1.888e-21,1.13152e-22
661.206,1.88411e-21,1.15995e-22
664.171,1.92664e-21,1.1386e-22
667.136,1.91527e-21,1.27755e-22
670.102,1.77278e-21,1.06038e-22
673.067,1.7784e-21,1.01853e-22
676.032,1.82959e-21,1.1017e-22
678.997,1.93664e-21,1.30318e-22
681.962,2.01661e-21,1.37396e-22
684.927,1.99691e-21,1.25064e-22
687.892,2.05359e-21,1.32839e-22
690.857,2.00086e-21,1.34183e-22
693.822,2.01876e-21,1.23827e-22
696.787,2.00309e-21,1.18831e-22
699.752,2.1069e-21,1.32047e-22
702.717,2.11553e-21,1.31444e-22
705.682,2.16436e-21,1.25537e-22
708.647,2.13026e-21,1.28274e-22
711.612,2.05603e-21,1.20315e-22
714.577,1.9641e-21,1.06438e-22
717.542,1.93606e-21,9.8849e-23
720.507,1.94005e-21,1.01832e-22
723.472,1.94372e-21,1.10481e-22
726.437,1.93601e-21,1.11061e-22
729.403,1.95295e-21,1.09713e-22
732.368,2.08182e-21,1.23949e-22
735.333,2.01817e-21,1.24595e-22
738.298,1.94683e-21,1.1539e-22
741.263,1.93655e-21,1.15434e-22
744.228,1.98884e-21,1.19722e-22
747.193,2.01937e-21,1.15131e-22
750.158,2.0043e-21,1.09609e-22
753.123,2.07947e-21,1.1666e-22
756.088,2.17691e-21,1.35865e-22
759.053,2.14048e-21,1.32147e-22
762.018,2.07651e-21,1.25437e-22
764.983,2.11515e-21,1.33756e-22
767.948,2.17523e-21,1.32713e-22
770.913,2.09797e-21,1.18811e-22
