Tau,SF,+-
2.92972,6.94206e-24,7.26597e-25
5.85943,1.04422e-23,1.00052e-24
8.78915,1.20098e-23,1.08275e-24
11.7189,1.33666e-23,1.18124e-24
14.6486,1.44468e-23,1.29759e-24
17.5783,1.41999e-23,1.23826e-24
20.508,1.48478e-23,1.33204e-24
23.4377,1.7278e-23,1.57138e-24
26.3674,1.82214e-23,1.61252e-24
29.2972,1.89359e-23,1.51268e-24
32.2269,1.93097e-23,1.53449e-24
35.1566,2.09038e-23,1.82103e-24
38.0863,2.29373e-23,2.04871e-24
41.016,2.30061e-23,1.8663e-24
43.9457,2.61117e-23,2.34029e-24
46.8755,2.7483e-23,2.45289e-24
49.8052,2.80853e-23,2.29793e-24
52.7349,2.91306e-23,2.42606e-24
55.6646,3.20758e-23,2.93221e-24
58.5943,3.29872e-23,3.00566e-24
61.524,3.24245e-23,2.69471e-24
64.4538,3.31664e-23,2.63432e-24
67.3835,3.40212e-23,2.93492e-24
70.3132,3.56416e-23,3.17354e-24
73.2429,3.4778e-23,2.74539e-24
76.1726,3.57922e-23,2.9868e-24
79.1023,3.57295e-23,2.92489e-24
82.032,3.75607e-23,3.06648e-24
84.9618,3.64093e-23,2.93446e-24
87.8915,3.50329e-23,2.77148e-24
90.8212,3.66051e-23,3.09386e-24
93.7509,3.63559e-23,2.94961e-24
96.6806,3.62638e-23,2.98457e-24
99.6103,3.52417e-23,2.93868e-24
102.54,3.82843e-23,3.31832e-24
105.47,3.60021e-23,3.01436e-24
108.399,3.55506e-23,2.91511e-24
111.329,3.49551e-23,3.07376e-24
114.259,3.82273e-23,3.28959e-24
117.189,3.63674e-23,2.87218e-24
120.118,3.78154e-23,3.11087e-24
123.048,3.77885e-23,3.28212e-24
125.978,3.80613e-23,3.37681e-24
128.908,3.54187e-23,3.22294e-24
131.837,3.74063e-23,3.22683e-24
134.767,3.61675e-23,3.21945e-24
137.697,3.52608e-23,3.46428e-24
140.626,3.42671e-23,3.15223e-24
143.556,3.43711e-23,3.18608e-24
146.486,3.57823e-23,3.07911e-24
149.416,3.81634e-23,3.64896e-24
