Tau,SF,+-
425.965,3.50277e-22,1.92896e-23
428.661,3.39185e-22,1.62094e-23
431.357,3.60607e-22,1.76119e-23
434.053,3.63816e-22,1.87657e-23
436.749,3.51529e-22,1.70101e-23
439.445,3.67621e-22,1.79068e-23
442.141,3.75026e-22,1.89627e-23
444.837,3.51281e-22,1.62554e-23
447.533,3.64382e-22,1.73509e-23
450.229,3.5649e-22,1.76963e-23
452.925,3.45204e-22,1.55355e-23
455.621,3.41323e-22,1.5379e-23
458.317,3.67595e-22,1.70448e-23
461.013,3.66776e-22,1.8095e-23
463.709,3.69769e-22,1.66166e-23
466.405,3.84893e-22,1.81756e-23
469.101,3.77179e-22,1.92751e-23
471.797,3.90077e-22,1.84613e-23
474.493,4.14485e-22,2.13662e-23
477.189,3.92879e-22,2.0649e-23
479.885,3.76864e-22,1.96675e-23
482.581,3.80818e-22,2.00074e-23
485.277,3.80233e-22,1.92259e-23
487.973,3.54542e-22,1.76424e-23
490.669,3.68504e-22,1.73815e-23
493.365,3.66962e-22,1.8215e-23
496.061,3.51318e-22,1.64175e-23
498.757,3.45978e-22,1.58509e-23
501.453,3.56278e-22,1.77336e-23
504.149,3.41443e-22,1.7017e-23
506.845,3.45864e-22,1.65318e-23
509.541,3.53194e-22,1.6944e-23
512.237,3.34579e-22,1.59011e-23
514.933,3.44039e-22,1.67795e-23
517.629,3.69369e-22,1.8221e-23
520.325,3.53187e-22,1.67002e-23
523.021,3.50958e-22,1.68437e-23
525.717,3.67946e-22,1.82953e-23
528.413,3.44277e-22,1.66333e-23
531.109,3.49835e-22,1.70082e-23
533.805,3.61834e-22,1.88532e-23
536.501,3.36912e-22,1.66779e-23
539.197,3.48784e-22,1.80467e-23
541.893,3.49189e-22,1.79203e-23
544.588,3.30985e-22,1.66273e-23
547.284,3.38671e-22,1.74681e-23
549.98,3.42221e-22,1.76603e-23
552.676,3.61757e-22,1.94024e-23
555.372,3.35914e-22,1.70145e-23
558.068,3.77271e-22,1.9687e-23
560.764,3.58205e-22,1.88712e-23
563.46,3.54353e-22,1.78152e-23
566.156,3.75656e-22,1.9025e-23
568.852,3.46876e-22,1.75326e-23
571.548,3.43141e-22,1.68429e-23
574.244,3.803e-22,2.04207e-23
576.94,3.53953e-22,1.76027e-23
579.636,3.69417e-22,1.95713e-23
582.332,3.70409e-22,1.8792e-23
585.028,3.46424e-22,1.70092e-23
587.724,3.6271e-22,1.97423e-23
590.42,3.7628e-22,1.87883e-23
593.116,3.48685e-22,1.82325e-23
595.812,3.55588e-22,1.9007e-23
598.508,3.35927e-22,1.77257e-23
601.204,3.60617e-22,1.80658e-23
603.9,3.62303e-22,1.87939e-23
606.596,3.43576e-22,1.75663e-23
609.292,3.31055e-22,1.60738e-23
611.988,3.50064e-22,1.76608e-23
614.684,3.48054e-22,1.82093e-23
617.38,3.41601e-22,1.72985e-23
620.076,3.57877e-22,1.78496e-23
622.772,3.40128e-22,1.71757e-23
625.468,3.30758e-22,1.68252e-23
628.164,3.40191e-22,1.788e-23
630.86,3.20989e-22,1.6208e-23
633.556,3.44734e-22,1.72392e-23
636.252,3.34869e-22,1.70559e-23
638.948,3.36898e-22,1.74063e-23
641.644,3.41598e-22,1.67949e-23
644.34,3.69076e-22,1.80486e-23
647.036,3.68226e-22,1.79523e-23
649.732,3.59516e-22,1.8908e-23
652.428,3.53397e-22,1.76734e-23
655.124,3.61461e-22,1.74592e-23
657.82,3.72068e-22,1.94149e-23
660.516,3.61099e-22,1.87487e-23
663.212,3.56119e-22,1.7945e-23
665.908,3.66943e-22,2.04013e-23
668.604,3.41832e-22,1.82908e-23
671.3,3.61309e-22,1.90087e-23
673.996,3.42495e-22,1.87603e-23
676.692,3.48942e-22,1.79457e-23
679.388,3.61412e-22,1.86989e-23
682.084,3.66039e-22,2.00027e-23
684.78,3.55876e-22,1.73243e-23
687.476,3.59427e-22,1.77182e-23
690.172,3.52651e-22,1.88074e-23
692.868,3.56057e-22,1.83846e-23
695.564,3.50579e-22,1.68364e-23
698.259,3.66016e-22,1.83945e-23
700.955,3.69437e-22,1.82915e-23
703.651,3.54945e-22,1.78979e-23
706.347,3.68422e-22,1.86889e-23
709.043,3.53294e-22,1.71769e-23
711.739,3.52015e-22,1.81344e-23
714.435,3.84054e-22,2.09533e-23
717.131,3.54266e-22,1.66997e-23
719.827,3.50654e-22,1.74502e-23
722.523,3.6103e-22,1.72158e-23
725.219,3.50811e-22,1.54446e-23
727.915,3.82176e-22,1.80424e-23
730.611,3.55384e-22,1.76156e-23
733.307,3.76012e-22,1.70773e-23
736.003,3.61737e-22,1.61426e-23
738.699,3.93573e-22,1.87181e-23
741.395,4.60461e-22,2.3406e-23
744.091,4.13337e-22,1.95841e-23
746.787,4.12249e-22,1.91962e-23
749.483,3.97409e-22,1.82995e-23
752.179,3.9318e-22,1.8545e-23
754.875,3.80385e-22,1.66024e-23
757.571,3.92166e-22,1.84415e-23
760.267,3.87263e-22,1.84275e-23
762.963,3.66054e-22,1.79986e-23
765.659,3.7007e-22,1.67531e-23
768.355,3.82527e-22,1.84572e-23
771.051,3.97399e-22,1.78576e-23
773.747,3.89338e-22,1.88278e-23
776.443,3.5166e-22,1.66697e-23
779.139,3.51929e-22,1.68145e-23
781.835,3.60048e-22,1.6974e-23
784.531,3.91215e-22,1.83291e-23
787.227,3.8509e-22,1.73381e-23
789.923,3.98414e-22,1.86526e-23
792.619,3.80742e-22,1.88247e-23
795.315,3.96204e-22,1.90923e-23
798.011,4.28479e-22,2.24995e-23
800.707,4.33766e-22,2.08022e-23
803.403,4.28837e-22,2.28797e-23
806.099,4.40312e-22,2.32161e-23
808.795,4.13253e-22,2.0468e-23
811.491,4.14792e-22,2.25519e-23
814.187,4.24266e-22,2.13357e-23
816.883,4.32234e-22,2.16699e-23
819.579,4.12617e-22,2.06065e-23
822.275,4.38821e-22,2.19377e-23
824.971,4.20403e-22,2.11827e-23
827.667,4.11629e-22,1.97994e-23
830.363,4.52803e-22,2.25403e-23
833.059,4.32235e-22,2.05768e-23
835.755,4.29039e-22,1.96799e-23
838.451,4.45382e-22,2.06248e-23
841.147,4.48865e-22,2.07469e-23
843.843,4.37823e-22,2.11994e-23
846.539,4.56028e-22,2.24625e-23
849.235,4.27818e-22,2.29596e-23
851.931,4.22844e-22,2.16455e-23
854.626,4.56402e-22,2.34557e-23
857.322,4.26488e-22,2.3403e-23
860.018,3.97416e-22,1.96854e-23
862.714,4.12992e-22,2.15224e-23
865.41,3.93494e-22,1.88567e-23
868.106,3.84827e-22,1.90546e-23
870.802,4.01816e-22,1.97712e-23
873.498,4.21895e-22,1.8433e-23
876.194,4.05453e-22,1.93581e-23
878.89,4.13442e-22,2.03645e-23
881.586,3.99662e-22,1.786e-23
884.282,4.33774e-22,2.11788e-23
886.978,4.1546e-22,1.92185e-23
889.674,4.16e-22,1.95289e-23
892.37,4.43044e-22,2.20803e-23
895.066,4.19469e-22,2.09375e-23
897.762,4.41925e-22,2.23694e-23
900.458,4.30561e-22,2.16538e-23
903.154,3.9678e-22,2.1389e-23
905.85,4.08556e-22,2.18603e-23
908.546,3.8068e-22,1.87525e-23
911.242,3.82314e-22,1.90987e-23
913.938,4.04746e-22,1.99356e-23
916.634,3.91341e-22,1.94293e-23
919.33,3.48713e-22,1.72457e-23
922.026,3.73366e-22,1.92425e-23
924.722,3.75425e-22,1.88846e-23
927.418,3.75967e-22,1.90228e-23
930.114,3.78906e-22,2.03813e-23
932.81,3.62258e-22,1.87527e-23
935.506,3.41938e-22,1.84481e-23
938.202,3.72411e-22,1.96697e-23
940.898,3.47262e-22,1.85636e-23
943.594,3.3943e-22,1.87496e-23
946.29,3.44324e-22,1.88583e-23
948.986,3.5601e-22,1.9654e-23
951.682,3.36116e-22,1.81072e-23
