Tau,SF,+-
479.114,1.69588e-22,7.09326e-24
482.127,1.56518e-22,7.58315e-24
485.141,1.70461e-22,7.03776e-24
488.154,1.59113e-22,7.64898e-24
491.167,1.65862e-22,6.85958e-24
494.18,1.48219e-22,7.08517e-24
497.194,1.57116e-22,6.94276e-24
500.207,1.43066e-22,7.02117e-24
503.22,1.54806e-22,7.0073e-24
506.234,1.55904e-22,7.35696e-24
509.247,1.5607e-22,7.08941e-24
512.26,1.53408e-22,7.26314e-24
515.273,1.60248e-22,7.00916e-24
518.287,1.45749e-22,6.79367e-24
521.3,1.59314e-22,6.93153e-24
524.313,1.43976e-22,6.92448e-24
527.327,1.56901e-22,6.71607e-24
530.34,1.52364e-22,7.03108e-24
533.353,1.6401e-22,7.01953e-24
536.367,1.62431e-22,7.28093e-24
539.38,1.64002e-22,6.66628e-24
542.393,1.6511e-22,7.04305e-24
545.406,1.59658e-22,6.96246e-24
548.42,1.60067e-22,7.03866e-24
551.433,1.62406e-22,7.53086e-24
554.446,1.6558e-22,8.10678e-24
557.46,1.64912e-22,7.82013e-24
560.473,1.6672e-22,8.0096e-24
563.486,1.78374e-22,8.5976e-24
566.5,1.74151e-22,8.64878e-24
569.513,1.78903e-22,8.49106e-24
572.526,1.84373e-22,8.26143e-24
575.539,1.86186e-22,8.40702e-24
578.553,1.96194e-22,8.55682e-24
581.566,1.90054e-22,8.65717e-24
584.579,1.91661e-22,8.32387e-24
587.593,1.84484e-22,8.42404e-24
590.606,1.96637e-22,8.61029e-24
593.619,1.95676e-22,9.38984e-24
596.632,1.93331e-22,8.8425e-24
599.646,1.86683e-22,9.36978e-24
602.659,1.77596e-22,8.59977e-24
605.672,1.79558e-22,8.8621e-24
608.686,1.82267e-22,8.39804e-24
611.699,1.86047e-22,8.77849e-24
614.712,1.89595e-22,8.59959e-24
617.726,1.86163e-22,9.16266e-24
620.739,1.93735e-22,9.23262e-24
623.752,1.8172e-22,9.64724e-24
626.765,1.91989e-22,9.25256e-24
629.779,1.75263e-22,9.05572e-24
632.792,1.80013e-22,9.00031e-24
635.805,1.68653e-22,8.96009e-24
