Tau,SF,+-
519.259,1.03035e-22,6.66858e-24
522.524,1.27149e-22,8.14953e-24
525.79,1.03825e-22,6.55445e-24
529.056,9.67145e-23,5.82014e-24
532.322,9.93682e-23,5.62324e-24
535.588,9.51386e-23,5.29973e-24
538.853,9.32264e-23,5.5458e-24
542.119,8.61589e-23,5.28746e-24
545.385,9.04375e-23,5.60146e-24
548.651,8.13745e-23,6.30176e-24
551.916,9.2193e-23,5.98842e-24
555.182,8.19419e-23,5.92394e-24
558.448,8.40203e-23,6.29114e-24
561.714,7.62385e-23,5.62618e-24
564.98,7.61115e-23,6.54549e-24
568.245,8.07707e-23,5.82505e-24
571.511,8.03453e-23,5.33513e-24
574.777,8.71413e-23,5.65338e-24
578.043,1.03617e-22,8.41601e-24
581.308,9.50257e-23,6.62339e-24
584.574,9.47203e-23,6.84725e-24
587.84,9.64577e-23,6.53804e-24
591.106,1.06846e-22,8.67752e-24
594.372,9.19351e-23,6.37563e-24
597.637,8.76031e-23,6.09372e-24
600.903,8.24292e-23,5.54932e-24
604.169,6.74449e-23,5.65904e-24
607.435,6.1324e-23,5.14651e-24
610.7,5.65092e-23,5.08856e-24
613.966,5.78089e-23,5.13959e-24
617.232,5.72156e-23,5.44628e-24
620.498,4.07995e-23,4.42397e-24
623.764,6.31552e-23,5.6985e-24
627.029,6.57428e-23,5.79945e-24
630.295,6.57141e-23,6.09547e-24
633.561,5.35425e-23,5.93962e-24
636.827,6.16589e-23,5.61634e-24
640.092,5.45746e-23,4.92004e-24
643.358,5.34973e-23,5.17502e-24
646.624,3.76305e-23,4.24812e-24
649.89,4.63185e-23,4.63324e-24
653.156,4.4083e-23,4.90964e-24
656.421,4.45217e-23,4.90223e-24
659.687,3.60942e-23,4.67116e-24
662.953,3.5745e-23,4.28684e-24
666.219,4.45652e-23,4.30942e-24
669.484,5.20199e-23,4.77005e-24
672.75,5.31593e-23,4.68276e-24
676.016,4.12558e-23,4.0027e-24
679.282,4.94457e-23,5.00782e-24
682.548,5.17842e-23,5.27569e-24
685.813,5.71858e-23,5.39143e-24
689.079,3.89871e-23,3.83408e-24
692.345,5.07978e-23,5.44473e-24
695.611,5.07928e-23,5.46376e-24
698.876,5.25747e-23,5.22597e-24
702.142,3.66493e-23,4.79611e-24
705.408,4.66979e-23,4.98669e-24
708.674,4.24204e-23,4.62166e-24
711.94,4.62162e-23,4.66343e-24
715.205,4.85821e-23,4.73565e-24
718.471,5.09312e-23,5.35263e-24
721.737,5.39273e-23,4.56422e-24
725.003,5.31653e-23,4.70938e-24
728.268,5.24841e-23,4.79712e-24
731.534,4.38352e-23,4.65115e-24
734.8,4.74225e-23,4.21449e-24
738.066,4.22383e-23,3.7588e-24
741.332,4.17183e-23,3.96392e-24
744.597,3.15016e-23,3.0388e-24
747.863,4.08603e-23,3.75608e-24
751.129,4.05428e-23,3.90991e-24
754.395,3.97967e-23,4.08833e-24
757.66,3.58176e-23,4.19836e-24
760.926,4.77229e-23,4.30904e-24
764.192,4.984e-23,4.12056e-24
767.458,5.15141e-23,4.47324e-24
770.724,5.12115e-23,4.31301e-24
773.989,5.59176e-23,6.32308e-24
777.255,5.23876e-23,4.3864e-24
780.521,5.07367e-23,4.9744e-24
783.787,4.77414e-23,4.3506e-24
787.052,3.99616e-23,4.26034e-24
790.318,4.68976e-23,4.20398e-24
793.584,4.80143e-23,4.7113e-24
796.85,4.94967e-23,4.0119e-24
800.116,3.16127e-23,3.97917e-24
803.381,4.09872e-23,3.97593e-24
806.647,3.95837e-23,4.49244e-24
809.913,4.05507e-23,3.84282e-24
813.179,2.60267e-23,3.3614e-24
816.444,3.75079e-23,3.82866e-24
819.71,3.60148e-23,4.04391e-24
822.976,3.69338e-23,4.24574e-24
826.242,3.74362e-23,4.23922e-24
829.508,2.47518e-23,3.50204e-24
832.773,4.22833e-23,4.19313e-24
836.039,4.70266e-23,4.21742e-24
839.305,4.78479e-23,4.50121e-24
842.571,4.02732e-23,3.88192e-24
845.836,4.18467e-23,4.39719e-24
849.102,4.53725e-23,4.70439e-24
852.368,4.84367e-23,4.59186e-24
855.634,4.75235e-23,4.84699e-24
858.9,5.31791e-23,4.3646e-24
862.165,4.98572e-23,3.73118e-24
865.431,4.96537e-23,3.5642e-24
868.697,4.81825e-23,4.47139e-24
871.963,5.54928e-23,4.90183e-24
875.228,5.50933e-23,4.4092e-24
878.494,5.57287e-23,4.44064e-24
881.76,6.02823e-23,5.11229e-24
885.026,6.55494e-23,6.0962e-24
888.292,6.4668e-23,4.91793e-24
891.557,6.02458e-23,3.89012e-24
894.823,6.46992e-23,4.35559e-24
898.089,6.91631e-23,5.33284e-24
901.355,6.10379e-23,4.78904e-24
904.62,5.452e-23,4.48948e-24
907.886,4.95924e-23,3.70076e-24
911.152,5.40591e-23,4.15125e-24
914.418,4.87423e-23,4.03139e-24
917.684,4.93738e-23,4.45893e-24
920.949,4.64303e-23,3.89677e-24
924.215,4.6684e-23,4.44699e-24
927.481,5.289e-23,5.11548e-24
930.747,5.12448e-23,4.51033e-24
934.012,4.53786e-23,4.05452e-24
937.278,4.69424e-23,4.16502e-24
940.544,3.94189e-23,3.76011e-24
943.81,4.4852e-23,3.92766e-24
947.076,3.64309e-23,3.34004e-24
950.341,3.57432e-23,3.30657e-24
953.607,2.83155e-23,3.14958e-24
956.873,3.89446e-23,3.74358e-24
960.139,3.90183e-23,3.71482e-24
963.404,3.39213e-23,3.45191e-24
966.67,2.71785e-23,2.86362e-24
969.936,3.71235e-23,4.3452e-24
973.202,3.84369e-23,4.76572e-24
976.468,3.75866e-23,4.69076e-24
979.733,4.31119e-23,5.57905e-24
982.999,3.84894e-23,4.93053e-24
986.265,5.99239e-23,6.16934e-24
989.531,6.20266e-23,6.49358e-24
992.796,6.48352e-23,7.23424e-24
996.062,5.25323e-23,7.21558e-24
999.328,5.63693e-23,7.15286e-24
1002.59,5.72785e-23,7.31098e-24
1005.86,5.43805e-23,7.70161e-24
1009.13,3.87376e-23,6.27477e-24
1012.39,5.21612e-23,7.6573e-24
1015.66,5.14058e-23,7.0641e-24
1018.92,5.13628e-23,7.54258e-24
1022.19,3.39428e-23,6.62693e-24
1025.45,5.41426e-23,8.02653e-24
1028.72,5.55287e-23,7.21127e-24
1031.99,5.67651e-23,7.70357e-24
1035.25,5.39217e-23,8.02431e-24
1038.52,5.03761e-23,9.6701e-24
1041.78,5.63867e-23,7.2471e-24
1045.05,5.48326e-23,7.13244e-24
1048.31,5.87816e-23,8.07908e-24
1051.58,4.72287e-23,8.65295e-24
1054.85,6.06327e-23,7.84994e-24
1058.11,6.5981e-23,8.33005e-24
1061.38,6.23333e-23,8.08313e-24
1064.64,6.12221e-23,1.24291e-23
1067.91,6.47649e-23,8.69375e-24
1071.18,6.44561e-23,9.01724e-24
1074.44,6.15893e-23,8.48859e-24
1077.71,6.13777e-23,1.04932e-23
1080.97,6.66298e-23,9.02596e-24
1084.24,6.5098e-23,7.78151e-24
1087.5,6.10779e-23,7.47443e-24
1090.77,5.77568e-23,7.36671e-24
1094.04,5.87616e-23,1.08512e-23
1097.3,6.11519e-23,7.41231e-24
1100.57,5.99228e-23,7.72472e-24
1103.83,6.18074e-23,8.17734e-24
1107.1,6.35275e-23,1.32098e-23
1110.36,6.58381e-23,8.83434e-24
1113.63,6.69272e-23,9.14239e-24
1116.9,5.89152e-23,7.54041e-24
1120.16,6.49119e-23,1.11198e-23
1123.43,6.26607e-23,8.29768e-24
1126.69,7.09243e-23,8.61688e-24
1129.96,7.11189e-23,7.83529e-24
