Time,Flux,+-
50104.6364,1.218E-11,6.584E-13
50105.781215,1.22E-11,5.561E-13
50106.771123,1.072E-11,5.216E-13
50107.71353,1.193E-11,5.294E-13
50108.772141,1.122E-11,4.485E-13
50109.906215,1.181E-11,5.218E-13
50110.794734,1.162E-11,4.428E-13
50112.710567,1.436E-11,5.109E-13
50113.711308,1.32E-11,4.627E-13
50114.44566,1.566E-11,4.48E-13
50115.575845,1.772E-11,7.257E-13
50116.921863,2.169E-11,6.949E-13
50117.244086,2.427E-11,6.94E-13
50118.521308,3.347E-11,7.615E-13
50119.673715,1.97E-11,6.118E-13
50120.316493,1.93E-11,5.704E-13
50120.545567,1.685E-11,7.847E-13
50122.60603,1.3E-11,6.303E-13
50123.389549,1.316E-11,4.222E-13
50124.786215,1.276E-11,6.719E-13
50133.139456,1.94E-11,9.871E-13
50137.7314,2.023E-11,6.521E-13
50148.065567,2.079E-11,6.768E-13
50155.071493,1.901E-11,5.808E-13
50163.836308,1.216E-11,3.871E-13
50164.1739,1.344E-11,8.84E-13
50187.421215,1.522E-11,6.702E-13
50194.246123,8.67E-12,5.442E-13
50199.837604,7.7E-12,4.999E-13
50208.80103,1.041E-11,6.631E-13
50214.254826,1.163E-11,4.131E-13
50224.267512,2.444E-11,1.059E-12
50233.382604,1.262E-11,6.219E-13
50239.454086,1.413E-11,6.419E-13
50243.6039,1.027E-11,6.053E-13
50252.595752,1.197E-11,5.833E-13
50258.430382,1.519E-11,6.979E-13
50260.222882,1.404E-11,5.76E-13
50261.292512,1.237E-11,4.695E-13
50262.66853,1.198E-11,5.722E-13
50263.469549,1.246E-11,5.302E-13
50264.224641,1.29E-11,6.111E-13
50265.270289,1.302E-11,5.291E-13
50266.337604,1.343E-11,4.792E-13
50267.538437,1.162E-11,4.326E-13
50268.472326,1.135E-11,5.306E-13
50269.273345,1.261E-11,6.764E-13
50270.018345,1.138E-11,5.899E-13
50271.55603,8.621E-12,6.14E-13
50273.008623,8.791E-12,6.298E-13
50273.69853,9.954E-12,4.805E-13
50274.769734,1.081E-11,5.687E-13
50275.809271,1.255E-11,7.154E-13
50276.629086,8.57E-12,5.269E-13
50277.416678,8.548E-12,7.513E-13
50278.700567,1.164E-11,7.384E-13
50279.701586,8.687E-12,6.876E-13
50280.144919,1.082E-11,7.27E-13
50288.313438,1.147E-11,1.108E-12
50293.446956,8.965E-12,6.321E-13
50300.910752,6.764E-12,4.272E-13
50308.184271,6.211E-12,4.309E-13
50316.200752,7.392E-12,8.718E-13
50320.1314,7.315E-12,5.139E-13
50325.386678,1.129E-11,6.654E-13
50400.84066,4.587E-12,3.956E-13
50405.625567,6.511E-12,3.496E-13
50411.834456,7.419E-12,4.731E-13
50419.976586,6.124E-12,5.058E-13
50427.851123,5.863E-12,4.364E-13
50428.502789,5.302E-12,5.11E-13
50428.966493,5.967E-12,4.056E-13
50429.464456,6.949E-12,1.195E-12
50429.967419,6.875E-12,5.566E-13
50430.187141,5.469E-12,3.654E-13
50430.71566,4.716E-12,3.398E-13
50431.258623,6.215E-12,4.233E-13
50431.837234,6.147E-12,4.859E-13
50432.328067,5.819E-12,4.521E-13
50432.844919,5.666E-12,4.106E-13
50433.577234,6.007E-12,4.265E-13
50433.644826,5.273E-12,5.082E-13
50434.507141,6.604E-12,5.401E-13
50434.578067,6.469E-12,4.172E-13
50435.048252,5.992E-12,4.796E-13
50435.398715,5.577E-12,5.443E-13
50436.119734,5.667E-12,5.043E-13
50436.637326,5.721E-12,5.373E-13
50437.189271,6.906E-12,6.142E-13
50437.536308,5.149E-12,7.683E-13
50437.999178,5.448E-12,4.693E-13
50438.439641,5.678E-12,4.37E-13
50438.978715,4.813E-12,3.938E-13
50439.452789,5.627E-12,4.569E-13
50439.980567,5.183E-12,4.766E-13
50440.440475,4.281E-12,4.494E-13
50440.906586,6.148E-12,9.122E-13
50441.796308,6.557E-12,6.493E-13
50442.189271,7.439E-12,3.02E-12
50442.654734,5.547E-12,6.873E-13
50443.128808,5.257E-12,7.485E-13
50443.571956,4.579E-12,4.816E-13
50444.128993,3.367E-12,5.817E-13
50444.639271,6.345E-12,8.039E-13
50445.12816,4.368E-12,6.042E-13
50445.70603,5.592E-12,5.963E-13
50446.12816,3.929E-12,5.035E-13
50446.673252,4.209E-12,5.535E-13
50447.1289,4.268E-12,4.873E-13
50447.640289,4.004E-12,1.042E-12
50448.2664,4.443E-12,4.156E-13
50448.919271,5.902E-12,8.662E-13
50449.332419,5.002E-12,4.902E-13
50449.66603,4.741E-12,6.258E-13
50450.129641,4.232E-12,5.641E-13
50450.601586,5.159E-12,4.263E-13
50451.190845,5.944E-12,7.017E-13
50451.598345,5.866E-12,6.804E-13
50452.190752,5.274E-12,1.01E-12
50452.664363,4.312E-12,4.365E-13
50453.21066,6.122E-12,6.046E-13
50453.851123,5.091E-12,5.738E-13
50454.34353,7.087E-12,5.406E-13
50454.851863,5.778E-12,6.56E-13
50455.314919,5.839E-12,7.563E-13
50455.923438,7.374E-12,7.842E-13
50456.379086,5.996E-12,5.308E-13
50456.914271,6.795E-12,8.093E-13
50457.413345,5.735E-12,6.355E-13
50457.813623,5.227E-12,5.917E-13
50458.403715,4.236E-12,5.045E-13
50458.814363,3.383E-12,6.697E-13
50459.464606,4.31E-12,4.004E-13
50459.991366,4.445E-12,5.664E-13
50460.4639,4.965E-12,4.33E-13
50460.996586,5.377E-12,3.68E-13
50461.464641,4.827E-12,4.73E-13
50461.730012,4.304E-12,3.841E-13
50462.190012,5.569E-12,6.746E-13
50462.666863,5.55E-12,6.23E-13
50463.124086,6.002E-12,6.295E-13
50463.657419,4.511E-12,6.128E-13
50464.124086,5.542E-12,5.314E-13
50464.524641,5.616E-12,7.333E-13
50465.323252,6.173E-12,8.517E-13
50465.817604,4.484E-12,4.804E-13
50466.192049,5.77E-12,6.533E-13
50466.677419,4.305E-12,5.36E-13
50467.082419,4.841E-12,4.845E-13
50467.8189,6.087E-12,7.507E-13
50468.255197,4.402E-12,1.481E-12
50468.750197,6.426E-12,5.698E-13
50469.25566,3.655E-12,8.859E-13
50469.742604,4.584E-12,5.958E-13
50470.193437,3.908E-12,4.93E-13
50470.747512,4.356E-12,5.392E-13
50471.287604,6.061E-12,6.885E-13
50471.752234,4.728E-12,6.789E-13
50472.259919,4.423E-12,7.922E-13
50472.752882,4.258E-12,7.813E-13
50473.219549,4.084E-12,5.544E-13
50473.673067,5.4E-12,5.951E-13
50474.204549,4.671E-12,1.139E-12
50474.682604,4.715E-12,6.235E-13
50475.149363,5.159E-12,5.669E-13
50475.662975,6.395E-12,6.07E-13
50476.150104,5.715E-12,4.664E-13
50476.663623,5.514E-12,5.46E-13
50477.150382,4.754E-12,5.33E-13
50477.685382,4.74E-12,4.644E-13
50478.150475,4.855E-12,4.903E-13
50478.664271,5.516E-12,5.285E-13
50479.291586,5.911E-12,1.009E-12
50479.821956,3.96E-12,4.961E-13
50480.401215,4.947E-12,4.774E-13
50480.865752,5.599E-12,5.361E-13
50481.465567,6.128E-12,5.745E-13
50482.082326,4.843E-12,5.05E-13
50482.542049,6.84E-12,4.768E-13
50483.089271,6.26E-12,4.783E-13
50483.675012,4.957E-12,4.256E-13
50484.092049,5.659E-12,5.873E-13
50484.728067,4.828E-12,4.447E-13
50489.295289,6.477E-12,5.786E-13
50494.537419,6.226E-12,4.528E-13
50502.810567,5.858E-12,4.428E-13
50512.639271,7.271E-12,5.046E-13
50516.691771,7.274E-12,5.058E-13
50525.631308,6.901E-12,4.014E-13
50529.290567,8.185E-12,3.872E-13
50536.357882,6.444E-12,6.578E-13
50543.447326,5.484E-12,3.521E-13
50549.645567,5.993E-12,4.261E-13
50557.393067,5.129E-12,3.75E-13
50564.652512,6.848E-12,3.849E-13
