Time,Flux,+-
51565.731285,1.925E-11,2.566E-13
51572.728877,1.186E-11,6.078E-13
51586.631748,2.159E-11,7.748E-13
51607.63434,4.393E-11,1.02E-12
51609.497211,2.606E-11,8.298E-13
51611.425914,1.449E-11,5.848E-13
51613.61897,1.118E-11,6.54E-13
51615.822396,1.86E-11,1.536E-12
51617.608507,1.377E-11,8.113E-13
51619.676933,1.872E-11,6.348E-13
51621.485914,3.18E-11,7.767E-13
51623.660451,1.15E-11,1.357E-12
51625.330729,1.653E-11,5.571E-13
51626.99647,1.29E-11,6.618E-13
51627.0661,1.894E-11,3.192E-13
51627.253507,1.022E-11,5.025E-13
51627.32147,1.92E-11,3.769E-13
51627.465914,2.317E-11,4.877E-13
51627.603414,2.402E-11,6.358E-13
51627.765914,2.474E-11,3.68E-13
51628.017581,9.612E-12,1.924E-13
51628.250914,1.421E-11,4.08E-13
51629.254618,2.456E-11,8.935E-13
51629.323692,3.796E-11,8.308E-13
51629.392766,2.001E-11,5.881E-13
51629.529525,2.755E-11,7.312E-13
51629.575914,2.887E-11,1.439E-12
51629.594433,3.017E-11,6.416E-13
51630.247766,1.421E-11,4.418E-13
51630.319433,2.721E-11,6.171E-13
51630.387951,2.379E-11,4.711E-13
51630.530544,2.251E-11,6.028E-13
51630.721192,1.383E-11,4.045E-13
51631.570359,3.053E-11,8.506E-13
51633.527674,1.44E-11,8.241E-13
51635.522488,5.045E-12,6.45E-13
51637.497859,2.427E-11,7.482E-13
51639.227581,1.279E-11,6.209E-13
51641.488229,1.723E-11,5.762E-13
51643.358044,8.88E-12,4.74E-13
51645.284711,1.166E-11,7.185E-13
51649.694618,3.678E-11,9.682E-13
51651.334248,1.687E-11,6.819E-13
51653.601933,1.467E-11,5.519E-13
51655.595359,2.799E-11,8.68E-13
51657.520359,2.626E-11,7.384E-13
51659.587211,1.914E-11,7.108E-13
51661.305359,1.324E-11,5.657E-13
51663.849711,2.658E-11,7.46E-13
51665.358414,1.8E-11,9.337E-13
51665.564988,1.799E-11,6.631E-13
51665.843414,3.248E-11,8.348E-13
51666.095266,2.198E-11,7.394E-13
51666.356007,1.79E-11,7.7E-13
51666.630637,1.205E-11,6.558E-13
51666.838229,1.286E-11,6.401E-13
51667.097303,3.089E-11,1.132E-12
51667.351748,1.325E-11,5.871E-13
51667.627488,1.322E-11,5.219E-13
51667.951748,1.592E-11,6.513E-13
51668.074063,2.106E-11,6.965E-13
51668.351007,1.418E-11,6.575E-13
51668.556007,2.101E-11,7.237E-13
51668.759433,1.566E-11,7.945E-13
51669.090266,1.913E-11,6.724E-13
51669.344433,2.104E-11,8.338E-13
51669.621192,3.584E-11,9.304E-13
51669.823877,3.547E-11,1.132E-12
51670.024711,2.291E-11,8.207E-13
51670.410451,2.727E-11,7.202E-13
51670.619155,3.808E-11,1.1E-12
51670.820451,1.936E-11,5.714E-13
51671.005451,3.896E-11,1.963E-12
51671.338507,4.838E-11,1.112E-12
51671.547581,4.281E-11,9.102E-13
51671.870914,3.481E-11,8.079E-13
51671.997859,2.095E-11,8.93E-13
51672.3361,2.401E-11,1.121E-12
51672.612211,1.889E-11,6.743E-13
51672.813137,1.993E-11,7.03E-13
51672.88684,2.075E-11,6.238E-13
51673.331377,9.692E-12,5.628E-13
51673.541007,8.027E-12,4.532E-13
51673.7936,1.177E-11,7.722E-13
51674.125729,7.642E-12,7.827E-13
51674.605174,1.239E-11,5.569E-13
51674.8636,3.643E-11,9.776E-13
51675.052581,2.182E-11,8.213E-13
51675.327025,2.058E-11,9.501E-13
51675.590174,1.87E-11,1.421E-12
51676.050451,1.044E-11,1.53E-12
51676.3236,1.738E-11,9.288E-13
51676.991933,2.128E-11,8.752E-13
51677.045637,1.958E-11,1.239E-12
51677.4586,5.076E-11,1.262E-12
51677.587859,1.518E-11,9.385E-13
51678.057211,2.883E-11,1.176E-12
51678.318044,2.04E-11,1.166E-12
51678.658322,1.225E-11,9.211E-13
51678.918322,2.693E-11,1.261E-12
51679.122488,1.543E-11,1.115E-11
51679.314525,2.457E-11,1.22E-12
51679.646562,4.071E-11,1.336E-12
51679.840451,1.939E-11,9.616E-13
51680.033692,3.692E-11,1.487E-12
51680.255174,4.813E-11,1.194E-12
51680.576655,3.954E-11,1.476E-12
51680.841933,2.019E-11,1.101E-12
51681.030451,2.245E-11,9.299E-13
51681.377025,1.441E-11,8.371E-13
51681.575266,2.871E-11,1.14E-12
51681.839155,3.399E-11,1.316E-12
51682.027118,1.936E-11,1.117E-12
51682.374248,1.716E-11,8.978E-13
51682.580914,3.445E-11,1.257E-12
51682.902488,2.998E-11,1.455E-12
51683.176007,3.03E-11,1.096E-12
51683.3711,2.841E-11,1.065E-12
51683.566192,1.903E-11,1.193E-12
51683.834155,2.777E-11,1.066E-12
51684.08934,5.857E-11,1.537E-12
51684.367211,3.484E-11,1.352E-12
51684.563414,4.579E-11,1.222E-12
51684.837118,3.646E-11,8.993E-13
51685.084988,3.499E-11,1.056E-12
51685.364803,5.141E-11,1.378E-12
51685.570359,8.383E-11,1.915E-12
51685.824063,5.394E-11,1.297E-12
51686.095266,4.081E-11,1.258E-12
51686.36147,3.794E-11,1.33E-12
51686.557303,4.607E-11,1.305E-12
51686.884711,5.66E-11,1.667E-12
51687.079803,3.137E-11,1.068E-12
51687.374896,3.1E-11,1.141E-12
51687.56147,4.422E-11,1.174E-12
51687.877581,4.102E-11,1.163E-12
51688.088785,2.95E-11,1.13E-12
51688.353044,3.353E-11,8.604E-13
51688.484988,3.918E-11,1.173E-12
51688.938877,4.605E-11,2.587E-12
51689.085174,3.359E-11,9.463E-13
51689.283877,4.715E-11,1.457E-12
51689.551655,3.872E-11,1.084E-12
51690.067859,2.202E-11,9.625E-13
51690.366007,3.062E-11,9.362E-13
51690.495729,3.174E-11,9.368E-13
51690.801377,2.388E-11,1.071E-12
51691.065359,4.625E-11,1.282E-12
51691.29184,4.745E-11,1.096E-12
51691.556377,5.589E-11,1.361E-12
51691.833044,4.126E-11,2.44E-12
51692.061285,3.261E-11,1.048E-12
51692.289155,4.039E-11,1.146E-12
51692.607951,2.828E-11,1.044E-12
51692.922859,4.283E-11,1.668E-12
51693.128877,3.869E-11,1.155E-12
51693.322859,5.178E-11,1.715E-12
51693.616655,2.905E-11,1.021E-12
51693.927488,3.644E-11,9.43E-13
51694.13647,1.917E-11,7.568E-13
51694.3286,2.415E-11,1.03E-12
51694.551748,3.63E-11,1.103E-12
51694.924896,5.629E-11,1.513E-12
51695.125174,4.515E-11,1.205E-12
51695.4236,3.187E-11,1.375E-12
51695.600637,4.059E-11,8.262E-13
51695.992674,4.2E-11,1.304E-12
51696.190359,4.989E-11,1.593E-12
51696.2686,3.64E-11,1.157E-12
51696.615914,3.453E-11,1.462E-12
51696.916933,3.705E-11,9.575E-13
51697.11897,3.046E-11,1.248E-12
51697.259433,3.45E-11,9.751E-13
51697.533229,3.48E-11,1.32E-12
51697.917674,3.119E-11,1.033E-12
51698.114896,3.278E-11,1.227E-12
51698.27147,3.142E-11,1.096E-12
51698.525914,3.031E-11,1.278E-12
51698.817488,3.165E-11,1.688E-12
51699.124525,3.811E-11,1.264E-12
51699.323229,2.337E-11,1.189E-12
51699.605544,2.631E-11,1.169E-12
51699.81434,2.373E-11,1.531E-12
51700.050822,2.609E-11,9.696E-13
51700.340174,1.257E-11,8.238E-13
51700.51647,3.373E-11,1.054E-12
51700.7436,1.761E-11,1.015E-12
51701.047581,1.415E-11,9.273E-13
51701.272951,2.585E-11,1.215E-12
51701.513507,3.763E-11,1.48E-12
51701.808229,3.478E-11,1.271E-12
51702.180822,3.193E-11,1.096E-12
51702.389618,2.352E-11,8.563E-13
51702.5961,2.905E-11,1.221E-12
51702.901007,3.609E-11,1.363E-12
51703.108507,2.128E-11,7.829E-13
51703.391655,3.73E-11,1.35E-12
51703.582674,4.653E-11,2.101E-12
51703.898229,4.226E-11,1.626E-12
51704.10184,4.645E-11,1.424E-12
51704.37397,3.658E-11,1.136E-12
51704.579618,7.649E-12,1.185E-12
51704.858692,3.09E-11,1.646E-12
51705.101192,2.759E-11,1.089E-12
51705.296655,3.9E-11,1.286E-12
51705.576748,4.446E-11,1.401E-12
51705.891933,2.713E-11,1.382E-12
51706.127025,1.966E-11,1.157E-12
51706.293137,1.481E-11,1.206E-12
51706.502211,3.343E-11,1.945E-12
51706.889896,5.717E-11,2.389E-12
51707.090637,2.313E-11,1.087E-12
51707.357581,2.199E-11,9.867E-13
51707.709525,2.305E-11,1.12E-12
51707.885729,2.065E-11,1.538E-12
51708.087766,3.511E-11,1.416E-12
51708.288877,2.034E-11,9.18E-13
51708.495544,3.617E-11,1.768E-12
51708.882581,2.923E-11,1.435E-12
51709.018137,2.612E-11,9.612E-13
51709.361748,2.409E-11,7.955E-13
51709.632766,2.053E-11,1.714E-12
51709.840266,2.845E-11,3.09E-12
51710.090174,1.789E-11,8.93E-13
51710.41897,2.322E-11,1.129E-12
51710.628414,3.146E-11,1.501E-12
51711.078692,1.261E-11,8.074E-13
51711.352303,2.639E-11,9.647E-13
51711.625914,4.459E-11,1.649E-12
51712.084525,3.067E-11,1.333E-12
51712.274525,5.24E-11,1.808E-12
51712.551933,4.729E-11,1.965E-12
51713.078044,1.541E-11,1.054E-12
51713.339063,4.097E-11,1.023E-12
51713.476007,2.382E-11,2.922E-12
51713.892118,3.145E-11,8.093E-12
51714.067951,3.871E-11,1.415E-12
51714.335822,3.037E-11,9.307E-13
51714.612951,2.267E-11,2.047E-12
51714.828692,2.121E-11,9.539E-13
51715.064618,3.613E-11,1.052E-12
51715.333785,4.402E-11,1.164E-12
51715.611192,2.447E-11,1.55E-12
51715.876655,3.214E-11,9.723E-13
51716.131933,5.759E-11,1.321E-12
51716.397766,4.13E-11,1.465E-12
51716.537859,2.904E-11,1.459E-12
51717.124062,1.613E-11,8.892E-13
51717.39397,2.725E-11,1.143E-12
51717.672674,2.917E-11,1.939E-12
51717.867581,3.627E-11,1.205E-12
51718.054896,2.725E-11,9.821E-13
51718.323229,2.789E-11,1.059E-12
51718.600266,8.367E-12,8.763E-13
51718.798137,1.485E-11,9.529E-13
51719.117396,2.634E-11,9.868E-13
51719.346563,1.351E-11,1.017E-12
51719.595266,1.275E-11,1.593E-12
51719.792488,1.921E-11,7.859E-13
51720.0711,1.579E-11,9.363E-13
51720.3161,2.865E-11,9.322E-13
51720.602859,2.558E-11,9.276E-13
51720.792581,2.831E-11,9.941E-13
51721.066748,2.97E-11,1.06E-12
51721.380544,2.261E-11,1.123E-12
51721.587581,3.472E-11,4.048E-12
51721.783692,2.846E-11,1.071E-12
51722.040081,1.947E-11,7.728E-13
51722.307303,4.208E-11,1.6E-12
51722.515081,2.126E-11,1.75E-12
51722.66647,2.469E-11,1.135E-12
51723.128137,1.412E-11,1.675E-12
51723.305822,1.392E-11,8E-13
51723.580729,1.25E-11,1.335E-12
51723.707951,1.492E-11,8.255E-13
51724.12434,2.354E-11,2.763E-12
51724.327396,7.982E-12,1.004E-12
51724.460822,7.642E-12,7.978E-13
51725.034063,1.611E-11,1.763E-12
51725.324618,2.19E-11,1.218E-12
51725.966748,1.021E-11,1.046E-12
51726.372118,2.736E-11,9.685E-13
51726.628044,2.931E-11,1.275E-12
51726.963322,2.136E-11,1.575E-12
51727.110081,2.601E-11,3.732E-12
51727.426562,1.671E-11,3.241E-12
51727.955081,2.128E-11,1.491E-12
51728.151377,5.805E-11,1.24E-12
51728.353507,4.306E-11,2.017E-12
51728.896655,3.984E-11,1.088E-12
51729.152859,2.914E-11,1.466E-12
51729.352488,3.69E-11,1.149E-12
51729.619711,1.511E-11,7.508E-13
51729.893137,2.276E-11,1.073E-12
51730.079063,2.154E-11,9.016E-13
51731.018414,3.095E-11,1.428E-12
51733.228507,1.927E-11,8.765E-13
51735.260081,3.545E-11,1.468E-12
51737.927396,2.657E-11,9.38E-13
51739.065914,9.931E-12,6.87E-13
51741.237488,3.451E-11,1.322E-12
51743.90684,5.012E-11,1.559E-12
51745.960081,3.42E-11,8.947E-13
51747.749248,4.032E-11,1.147E-12
51749.814711,1.973E-11,9.158E-13
51751.878877,3.308E-11,1.275E-12
51753.697951,4.955E-11,2.389E-12
51755.409433,6.781E-12,1.849E-12
51757.258507,3.984E-11,1.352E-12
51759.534063,4.09E-11,2.139E-12
51761.316655,2.137E-11,1.262E-12
51763.765914,3.733E-11,1.438E-12
51765.442211,3.322E-11,1.49E-12
51767.293414,2.793E-11,1.767E-12
51769.215544,3.816E-11,1.632E-12
51771.48684,4.028E-11,1.873E-12
51773.869525,4.934E-11,2.366E-12
51775.141192,3.225E-11,1.123E-12
51777.18434,2.417E-11,1.52E-12
51779.84147,5.457E-11,1.522E-12
51781.849711,1.861E-11,2.536E-12
51783.228414,1.918E-11,1.135E-12
51787.818785,3.151E-11,9.451E-13
51789.607951,1.911E-11,1.02E-12
51791.599433,2.023E-11,1.392E-12
51801.382581,2.546E-11,1.441E-12
51803.583877,3.102E-11,1.593E-12
51805.819896,3.201E-11,1.139E-12
51807.806655,4.045E-11,9.787E-13
51809.803137,4.35E-11,1.112E-12
51811.125637,2.389E-11,1.023E-12
51813.539711,2.954E-11,1.295E-12
51815.182951,7.86E-12,9.221E-13
51819.235359,2.305E-11,1.729E-12
51821.156563,8.608E-12,1.471E-12
51823.830914,3.083E-11,1.271E-12
51825.13934,2.677E-11,2.429E-12
51827.988507,2.186E-11,1.061E-12
51829.120822,1.374E-11,1.177E-12
51831.043877,1.255E-11,1.173E-12
51833.034525,1.442E-11,1.217E-12
51837.627766,7.574E-12,2.185E-12
51839.964248,1.966E-11,1.239E-12
51841.470544,8.575E-12,8.05E-13
51843.66397,5.784E-12,6.062E-13
51845.6561,1.254E-11,8.4E-13
51847.921933,7.202E-12,5.881E-13
51849.707211,5.632E-12,6.633E-13
51851.630637,1.261E-11,8.582E-13
51853.550451,4.814E-12,7.043E-13
51855.539618,3.539E-12,5.363E-13
51857.462859,2.376E-11,1.162E-12
51859.5236,1.036E-11,7.882E-13
51860.519063,3.129E-11,1.421E-12
51861.060729,2.284E-11,1.994E-12
51861.5836,2.194E-11,9.374E-13
51862.510729,3.461E-11,1.282E-12
51863.540637,3.583E-11,1.627E-12
51864.501933,1.908E-11,1.21E-12
51865.181655,1.944E-11,9.847E-13
51867.380174,1.743E-11,1.566E-12
51869.305081,1.436E-11,9.419E-13
51871.948044,3.033E-11,8.103E-13
51873.460914,5.165E-12,8.022E-13
51877.465451,8.987E-12,8.969E-13
51879.631933,1.86E-11,1.188E-12
51881.450544,7.527E-12,7.905E-13
51883.430822,6.14E-12,6.675E-13
51885.688877,7.985E-12,8.573E-13
51887.6786,1.659E-11,9.844E-13
51891.585729,7.651E-12,6.731E-13
51893.637118,1.269E-11,7.479E-13
51895.569155,1.42E-11,8.262E-13
51897.557766,8.207E-12,6.558E-13
51899.408044,1.109E-11,8.252E-13
51901.596655,3.594E-11,1.122E-12
51903.316562,1.74E-11,9.79E-13
51905.207951,8.77E-12,1.391E-12
51907.056933,8.544E-12,1.192E-12
51909.18684,1.149E-11,1.444E-12
51911.489433,9.726E-12,7.468E-13
51913.608044,5.83E-12,6.937E-13
51915.5336,1.34E-11,7.049E-13
51917.075266,1.782E-11,9.764E-13
51919.513414,8.008E-12,8.223E-13
51921.839433,2.311E-12,1.56E-12
51925.547859,3.807E-12,8.612E-13
51926.812211,4.403E-12,1.274E-12
51929.796192,4.534E-12,1.48E-12
51931.74434,5.382E-12,7.981E-13
51933.86684,7.557E-12,8.794E-13
51935.833322,2.461E-12,1.839E-12
51937.821563,7.668E-12,4.466E-12
51941.663877,5.771E-12,7.538E-13
51943.401377,3.221E-12,8.265E-13
51945.531377,4.687E-12,5.868E-13
51947.378229,9.21E-12,8.677E-13
51949.1611,4.108E-12,6.826E-13
51951.49934,1.154E-11,9.035E-13
51954.199896,5.614E-12,8.859E-13
51955.599062,7.473E-12,8.321E-13
51957.539248,9.419E-12,8.479E-13
51959.384803,3.26E-12,5.427E-13
51961.436933,7.847E-12,7.807E-13
51963.293785,7.164E-12,6.525E-13
51965.963507,1.546E-11,1.269E-12
51967.536748,1.399E-11,8.681E-13
51969.9411,6.043E-12,1.46E-12
51970.741285,6.069E-12,5.775E-13
51972.729155,1.021E-11,9.71E-13
51974.529618,1.322E-11,9.243E-13
51976.708322,1.616E-11,7.038E-13
51978.696285,3.546E-12,5.05E-13
51980.479525,9.567E-12,8.431E-13
51982.327211,2.141E-12,4.436E-13
51984.536933,1.847E-11,9.214E-13
51986.634988,1.184E-11,1.218E-12
51988.649618,2.092E-11,8.976E-13
51990.704896,7.566E-12,8.539E-13
51992.627211,1.874E-11,1.049E-12
51994.395822,3.791E-12,6.826E-13
51996.258785,1.379E-11,8.717E-13
51998.430729,2.808E-11,1.229E-12
52000.583137,1.573E-11,9.856E-13
