Time,Flux,+-
50777.935833,6.916E-11,7.055E-13
50784.477963,6.566E-11,6.836E-13
50793.939722,9.415E-11,6.946E-13
50800.943611,7.74E-11,6.403E-13
50805.951019,6.034E-11,6.505E-13
50988.341852,1.21E-10,4.336E-13
50989.244537,1.239E-10,2.396E-13
50990.339352,1.335E-10,5.401E-13
51182.27397,9.28E-11,8.805E-13
51197.8911,8.352E-11,2.504E-13
51204.750914,8.994E-11,3.694E-13
51204.888785,8.825E-11,3.517E-13
51210.173785,7.194E-11,7.585E-13
51210.704988,7.162E-11,2.168E-13
51239.602581,9.416E-11,2.558E-13
51239.806933,9.409E-11,3.969E-13
51241.432211,9.432E-11,5.753E-13
51241.518877,9.004E-11,8.521E-13
51241.704433,9.804E-11,3.383E-13
51242.667211,1.13E-10,2.846E-13
51243.715174,1.189E-10,4.234E-13
51244.669525,1.192E-10,2.984E-13
51245.602488,1.033E-10,2.594E-13
51245.802674,1.01E-10,4.123E-13
51246.165266,1.022E-10,3.483E-13
51246.373414,1.033E-10,6.976E-13
51246.635174,1.055E-10,2.387E-13
51247.197211,1.032E-10,4.472E-13
51247.581007,1.074E-10,2.683E-13
51248.290266,1.028E-10,8.393E-13
51248.631377,1.01E-10,2.314E-13
51249.437674,9.295E-11,6.904E-13
51249.602766,9.293E-11,2.738E-13
51250.535729,9.925E-11,2.701E-13
51251.08434,9.903E-11,1.398E-12
51251.569248,1.023E-10,2.364E-13
51251.798322,1.022E-10,5.207E-13
51252.229063,9.076E-11,6.604E-13
51252.293044,9.103E-11,5.905E-13
51252.627303,9.031E-11,2.318E-13
51267.483692,8.96E-11,8.806E-13
51295.471285,1.351E-10,1.007E-12
51322.254155,8.725E-11,8.044E-13
51350.346285,1.087E-10,8.444E-13
51378.056563,8.021E-11,9.514E-13
51407.04397,7.415E-11,7.183E-13
51483.423785,9.928E-11,1.031E-12
51512.970822,1.118E-10,1.16E-12
51542.646933,1.325E-10,1.019E-12
51552.810451,1.192E-10,1.035E-12
51553.408322,1.296E-10,1.052E-12
51553.622766,1.389E-10,5.906E-13
51553.808322,1.421E-10,1.264E-12
51554.232303,1.469E-10,7.558E-13
