Time,Flux,+-
51261.644618,1.134E-11,5.621E-13
51265.900637,1.297E-11,4.924E-13
51270.117396,1.339E-11,5.128E-13
51274.317951,8.546E-12,9.914E-13
51278.718229,1.172E-11,6.017E-13
51282.979988,1.492E-11,6.109E-13
51287.1961,1.24E-11,6.458E-13
51291.459988,1.736E-11,1.093E-12
51295.699525,1.993E-11,6.623E-13
51299.9686,2.094E-11,6.252E-13
51304.311933,1.868E-11,5.141E-13
51308.548414,2.576E-11,6.83E-13
51312.804155,2.793E-11,8.517E-13
51316.957859,2.833E-11,6.299E-13
51325.61647,2.325E-11,5.959E-13
51329.8786,2.483E-11,6.273E-13
51334.137766,2.464E-11,9.595E-13
51338.398229,2.146E-11,7.055E-13
51342.668877,2.055E-11,6.835E-13
51346.879711,1.699E-11,6.159E-13
51351.209803,1.364E-11,5.054E-13
51359.802118,1.81E-11,9.443E-13
51363.981562,1.655E-11,7.364E-13
51368.221748,1.583E-11,7.865E-13
51372.578229,1.575E-11,6.254E-13
51381.099433,1.137E-11,2.037E-12
51385.362211,1.244E-11,7.226E-13
51389.616192,1.431E-11,5.264E-13
51393.750637,1.686E-11,5.843E-13
51398.16897,1.312E-11,6.112E-13
51402.333507,1.852E-11,6.557E-13
51406.690266,2.07E-11,7.771E-13
51410.947951,1.701E-11,5.888E-13
51415.213137,1.946E-11,2.178E-12
51419.469433,1.925E-11,6.78E-13
51423.712118,1.417E-11,1.128E-12
51428.001192,1.184E-11,7.711E-13
51432.281563,1.126E-11,5.72E-13
51436.571192,1.155E-11,5.355E-13
51440.764896,1.509E-11,6.396E-13
51445.020451,1.933E-11,6.296E-13
51449.357303,2.004E-11,7.466E-13
51453.624525,1.963E-11,4.947E-13
51457.892581,1.794E-11,6.754E-13
51462.092211,8.424E-12,2.878E-12
51466.480729,1.995E-11,6.798E-13
51470.661562,1.859E-11,6.217E-13
51474.931007,1.068E-11,1.369E-12
51479.233692,1.148E-11,5.165E-13
51483.506655,1.405E-11,5.108E-13
51487.723414,1.139E-11,4.844E-13
51492.029433,1.647E-11,6.983E-13
51496.282303,1.972E-11,7.591E-13
51500.563877,1.953E-11,6.238E-13
51504.825914,1.837E-11,1.039E-12
51509.204248,1.768E-11,6.053E-13
51513.182118,1.693E-11,5.609E-13
51517.66184,1.463E-11,7.734E-13
51521.898414,1.038E-11,7.171E-13
51526.172951,1.035E-11,5.216E-13
51530.355544,9.988E-12,8.89E-13
51534.629525,1.424E-11,5.852E-13
51538.953414,1.855E-11,6.182E-13
51543.204155,1.855E-11,5.644E-13
51547.472766,1.75E-11,6.815E-13
51551.719063,1.871E-11,5.416E-13
51556.049711,1.251E-11,6.189E-13
51560.256562,7.739E-12,4.902E-13
51564.518044,6.915E-12,6.325E-13
51568.813785,7.563E-12,6.133E-13
51573.097951,6.617E-12,6.429E-13
51577.337303,5.39E-12,8.89E-13
51581.548692,1.141E-11,8.753E-13
51585.80397,1.458E-11,4.743E-13
51590.097488,1.226E-11,5.391E-13
51594.382303,9.921E-12,5.808E-13
51598.650081,7.981E-12,4.896E-13
51602.956563,9.694E-12,5.666E-13
51607.20897,1.501E-11,5.048E-13
51611.485544,1.109E-11,4.887E-13
51615.785359,1.182E-11,5.167E-13
51624.308877,9.018E-12,7.516E-13
51632.764896,8.918E-12,6.915E-13
51637.074155,8.42E-12,4.773E-13
51641.342488,1.141E-11,4.935E-13
51645.65184,1.155E-11,6.528E-13
51649.842581,1.52E-11,5.359E-13
51654.08897,1.183E-11,6.592E-13
51658.472951,1.525E-11,7.244E-13
51662.735451,1.796E-11,6.593E-13
51666.983692,1.641E-11,5.877E-13
51671.259063,1.747E-11,5.752E-13
51675.450451,1.489E-11,7.667E-13
51679.767951,1.559E-11,1.061E-12
51683.945266,1.307E-11,9.117E-13
51688.278322,1.828E-11,1.315E-12
51692.520544,1.901E-11,9.527E-13
51696.749525,1.878E-11,8.105E-13
51701.098507,1.79E-11,8.697E-13
51705.337211,1.697E-11,9.405E-13
51709.592674,1.418E-11,8.753E-13
51713.842674,1.523E-11,7.913E-13
51718.179711,1.849E-11,1.173E-12
51722.407859,1.38E-11,8.221E-13
51726.669896,1.581E-11,9.17E-13
51730.865637,1.328E-11,7.537E-13
51735.187951,1.709E-11,2.083E-12
51739.243229,1.538E-11,1.347E-12
51743.814896,1.346E-11,8.023E-13
51748.031748,1.239E-11,6.439E-13
51752.258137,1.353E-11,9.56E-13
51756.577118,1.125E-11,9.17E-13
51760.756192,1.401E-11,7.412E-13
51765.016377,1.269E-11,9.321E-13
51769.283322,1.234E-11,6.568E-12
51773.586748,1.232E-11,1.017E-12
51777.777859,1.041E-11,7.45E-13
51782.162766,8.602E-12,1.737E-12
51786.409618,4.386E-12,8.181E-13
51790.661655,5.027E-12,9.817E-13
51803.46147,7.011E-12,7.888E-13
51807.7161,1.031E-11,6.303E-13
51812.056655,1.172E-11,7.18E-13
51816.350174,1.131E-11,6.593E-13
51820.589803,1.038E-11,8.949E-13
51824.800544,1.283E-11,9.252E-13
51829.051007,4.858E-12,9.489E-13
51833.494618,4.949E-12,5.957E-13
51837.536562,5.782E-12,8.077E-13
51841.859248,8.913E-12,1.227E-12
51846.031655,1.366E-11,7.446E-13
51850.410451,1.35E-11,8.257E-13
51854.667488,1.376E-11,9.831E-13
51858.840451,7.031E-12,5.979E-13
51863.1486,3.996E-12,6.894E-13
51867.464803,5.902E-12,6.753E-13
51871.718322,6.965E-12,8.301E-13
51876.022951,9.57E-12,1.57E-12
51880.213229,1.431E-11,1.005E-12
51884.535174,1.657E-11,7.577E-13
