Time,Flux,+-
51610.566192,1.825E-11,5.876E-13
51619.990729,1.859E-11,7.33E-13
51630.502118,1.778E-11,8.989E-13
51640.267118,1.587E-11,6.47E-13
51650.840081,2.059E-11,5.03E-13
51660.507118,2.508E-11,6.303E-13
51670.675174,2.018E-11,1.287E-12
51680.906655,1.103E-11,1.103E-12
51700.558229,2.228E-11,9.045E-13
51710.557581,2.35E-11,1.261E-12
51720.452303,2.671E-11,1.924E-12
51750.811562,1.221E-11,7.527E-13
51754.482951,1.271E-11,1.234E-12
51756.33184,1.816E-11,2.489E-12
51758.362118,1.25E-11,8.27E-13
51760.702581,2.395E-11,9.006E-13
51762.382211,2.186E-11,1.379E-12
51764.454896,1.957E-11,1.371E-12
51766.081655,1.716E-11,1.077E-12
51768.428322,1.487E-11,1.181E-12
51770.071192,1.645E-11,1.853E-12
51772.610729,1.535E-11,7.001E-13
51774.919803,1.381E-11,8.3E-13
51776.188137,1.212E-11,9.102E-13
51780.241377,1.692E-11,1.272E-12
51791.647581,1.628E-11,8.012E-13
51800.767859,7.44E-12,6.669E-13
51810.128229,2.271E-11,9.991E-13
51820.617396,1.757E-11,9.478E-13
51830.195822,2.1E-11,8.277E-13
51839.461377,3.042E-11,9.862E-13
51859.506655,1.603E-11,9.068E-13
51869.619803,2.582E-11,7.887E-13
51879.913229,2.476E-11,1.005E-12
51889.640822,3.325E-11,1.17E-12
51900.199525,3.046E-11,9.356E-13
51909.571655,2.547E-11,1.17E-12
51919.401285,3.512E-11,9.401E-13
52720.388044,1.778E-11,6.943E-13
52722.468877,1.835E-11,1.961E-12
52724.044155,1.419E-11,7.61E-13
52726.305544,2.278E-11,8.411E-13
52728.386285,1.942E-11,1.051E-12
52730.2911,2.2E-11,7.9E-13
52732.290544,1.892E-11,8.138E-13
52734.104155,1.687E-11,9.003E-13
52735.886933,1.884E-11,8.29E-13
52739.052674,1.934E-11,8.313E-13
52740.951285,2.111E-11,7.739E-13
52742.150081,2.581E-11,9.911E-13
52744.967766,2.696E-11,1.024E-12
52746.506007,1.821E-11,7.903E-13
52748.461377,1.552E-11,1.231E-12
52750.507118,1.738E-11,8.665E-13
52752.47647,1.898E-11,1.223E-12
52754.393877,1.613E-11,9.752E-13
52756.295914,2.3E-11,8.913E-13
52758.470081,2.445E-11,7.71E-13
52760.362951,2.318E-11,9.089E-13
52762.267025,2.15E-11,8.048E-13
52764.17147,1.834E-11,7.62E-13
52766.1711,1.62E-11,1.51E-12
52768.275637,1.652E-11,9.016E-13
52770.179062,1.732E-11,9.88E-13
52772.147859,2.065E-11,6.843E-13
52774.380729,2.234E-11,7.738E-13
52776.22897,1.663E-11,7.701E-13
52778.113877,2.207E-11,7.946E-13
52780.17184,1.726E-11,8.245E-13
52782.183692,1.696E-11,8.533E-13
52784.115544,1.759E-11,9.505E-13
52786.156933,1.151E-11,6.578E-13
52788.23184,1.12E-11,6.818E-13
52790.422674,1.326E-11,7.322E-13
52792.3886,2.192E-11,9.806E-13
52794.476748,1.478E-11,1.391E-12
52796.423877,2.941E-11,9.643E-13
52798.827951,2.824E-11,8.795E-13
52800.422211,2.306E-11,1.271E-12
52802.324803,2.712E-11,1.289E-12
52804.294988,2.293E-11,1.019E-12
52806.197951,1.192E-11,7.332E-13
52808.374525,8.526E-12,8.322E-13
52810.207396,1.353E-11,7.304E-13
52812.52184,9.416E-12,1.577E-12
52814.217859,1.058E-11,7.324E-13
52816.016007,8.08E-12,9.567E-13
52818.159063,1.055E-11,1.321E-12
52843.737766,2.442E-11,8.902E-13
52847.67897,1.831E-11,9.074E-13
52849.341655,2.644E-11,1.222E-12
52851.196933,1.806E-11,9.764E-13
52853.35147,1.578E-11,1.138E-12
52855.252396,1.643E-11,1.053E-12
52858.27684,1.898E-11,1.042E-12
52860.98934,1.482E-11,1.253E-12
52862.148785,1.379E-11,1.059E-12
52864.324711,7.083E-12,1.678E-12
52865.847766,1.16E-11,7.836E-13
52867.142951,1.049E-11,8.557E-13
52869.133137,8.259E-12,6.93E-13
52870.973877,8.122E-12,6.755E-13
52873.12147,7.372E-12,1.804E-12
52874.914896,1.064E-11,7.61E-13
52877.02184,8.95E-12,6.793E-13
52879.639711,8.361E-12,1.19E-12
52881.070637,1.837E-11,5.253E-12
52883.920544,1.675E-11,1.029E-12
52885.751377,1.875E-11,9.323E-13
52887.791933,1.813E-11,1.108E-12
52889.832211,1.499E-11,7.122E-13
52891.319062,1.862E-11,9.556E-13
52895.812581,2.495E-11,1.013E-12
52897.642951,2.342E-11,1.02E-12
52899.610266,2.286E-11,8.882E-13
52901.411377,1.951E-11,1.448E-12
52903.450729,1.795E-11,1.711E-12
52905.158692,1.626E-11,8.285E-13
52907.129248,2.26E-11,8.547E-13
52909.861655,1.558E-11,8.275E-13
52911.900637,1.711E-11,1.365E-12
52913.806192,1.496E-11,7.086E-13
52915.870359,1.338E-11,1.032E-12
52917.947396,1.514E-11,1.403E-12
52919.74434,2.476E-11,1.396E-12
52921.64397,1.777E-11,8.996E-13
52923.596192,1.932E-11,8.63E-13
52925.633692,2.505E-11,8.731E-13
52927.552859,1.455E-11,1.11E-12
52929.794803,1.725E-11,7.414E-13
52931.872859,2.397E-11,1.307E-12
52933.463785,1.756E-11,2.44E-12
52935.24934,1.771E-11,9.725E-13
52937.214525,2.554E-11,9.413E-13
52939.191933,2.24E-11,1.155E-12
52941.595729,3.158E-11,1.308E-12
52944.356933,2.15E-11,8.567E-13
52949.478137,2.522E-11,1.321E-12
52951.321933,2.781E-11,9.259E-13
52952.937118,2.789E-11,1.319E-12
52955.867581,3.738E-11,1.394E-12
52957.127303,3.54E-11,1.656E-12
52959.167118,3.515E-11,9.058E-13
52961.70684,2.909E-11,1.147E-12
52963.745081,3.263E-11,9.165E-13
52965.149248,2.108E-11,8.181E-13
52967.64647,2.523E-11,9.761E-13
52969.324063,2.475E-11,8.634E-13
52971.424803,2.458E-11,7.415E-13
52973.683137,2.08E-11,7.794E-13
52977.554248,1.852E-11,9.427E-13
52979.717859,1.415E-11,7.658E-13
52981.019618,1.623E-11,8.191E-13
52983.114525,2.006E-11,1.031E-12
52985.568229,2.671E-11,1.231E-12
52987.839988,1.98E-11,8.914E-13
52989.642303,2.302E-11,9.214E-13
52991.599433,2.912E-11,1.026E-12
52993.029711,3.138E-11,1.103E-12
52997.495174,2.493E-11,9.195E-13
52999.246285,2.265E-11,1.586E-12
53001.444433,2.558E-11,8.824E-13
53003.747303,2.966E-11,8.7E-13
53005.324433,2.663E-11,9.2E-13
53007.618414,2.028E-11,1.107E-12
53009.686562,2.085E-11,1.611E-12
53011.696285,3.457E-11,1.58E-12
53013.596563,2.931E-11,8.748E-13
53015.632951,1.988E-11,1.342E-12
53017.536748,1.508E-11,8.455E-13
53019.638507,2.056E-11,1.235E-12
53021.541933,2.346E-11,7.058E-13
53023.72647,1.777E-11,9.11E-13
53025.500914,1.813E-11,7.122E-13
53027.47147,1.689E-11,8.429E-13
53029.439155,2.08E-11,9.402E-13
53031.206192,1.842E-11,1.18E-12
53033.485914,1.81E-11,7.824E-13
53035.454155,2.079E-11,1.048E-12
53037.311007,2.037E-11,7.418E-13
53039.327951,2.66E-11,1.029E-12
53041.497396,2.618E-11,8.317E-13
53043.554988,2.13E-11,9.242E-13
53045.455729,2.236E-11,6.729E-13
53047.152859,2.384E-11,8.149E-13
53049.309525,1.787E-11,8.055E-13
53051.229525,2.273E-11,9.183E-13
53053.735174,2.029E-11,1.071E-12
53055.292951,2.314E-11,1.182E-12
53057.395544,2.2E-11,9.828E-13
53059.51147,2.153E-11,8.218E-13
53061.537396,2.949E-11,1.144E-12
53063.66147,2.745E-11,9.388E-13
53065.679248,2.947E-11,1.829E-12
53067.471563,2.501E-11,1.775E-12
53069.5036,2.466E-11,8.85E-13
53071.271933,3.55E-11,1.188E-12
53075.342859,2.238E-11,1.306E-12
53077.634896,2.054E-11,8.573E-13
53079.544896,2.73E-11,7.429E-13
53081.354988,3.787E-11,1.033E-12
53083.28147,2.781E-11,1.062E-12
53085.35897,2.233E-11,8.092E-13
53087.327025,1.787E-11,7.945E-13
53089.254155,1.884E-11,9.105E-13
53091.984155,2.467E-11,8.408E-13
53093.240637,2.381E-11,8.134E-13
53095.9886,3.143E-11,1.111E-12
53097.174988,2.422E-11,9.661E-13
53099.215729,2.417E-11,8.91E-13
53101.113322,2.405E-11,8.943E-13
53103.186377,2.925E-11,7.779E-13
53106.6536,2.399E-11,1.787E-12
53109.392396,1.957E-11,1.076E-12
53111.295266,1.258E-11,5.59E-13
53113.471377,2.805E-11,1.345E-12
53115.301933,1.992E-11,9.273E-13
53117.405822,2.029E-11,1.069E-12
53121.408877,1.947E-11,1.239E-12
53123.376563,2.249E-11,1.051E-12
53125.412303,2.919E-11,1.484E-12
53127.202025,1.918E-11,7.787E-13
53129.347303,2.516E-11,1.475E-12
53131.31397,1.776E-11,1.059E-12
53135.182581,2.939E-11,1.046E-12
53137.150359,2.352E-11,8.135E-13
53139.449063,2.399E-11,8.453E-13
53141.750266,3.057E-11,9.111E-13
53143.255729,2.29E-11,8.937E-13
53145.285451,2.827E-11,1.205E-12
53147.912396,2.907E-11,1.069E-12
53149.09647,2.26E-11,7.117E-13
